"Checked"	"Protein FDR Confidence Combined"	"Master"	"Accession"	"Description"	"Exp q-value Combined"	"Sum PEP Score"	"Coverage in Percent"	"Number of Peptides"	"Number of PSMs"	"Number of Unique Peptides"	"Number of AAs"	"MW in kDa"	"calc pI"	"Score Sequest HT Sequest HT"	"Number of Peptides by Search Engine Sequest HT"	"Number of Protein Groups"
"False"	"High"	"IsMasterProtein"	"P10964"	"DNA-directed RNA polymerase I subunit RPA190 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPA190 PE=1 SV=2"	"0.000"	"571.546"	"31"	"44"	"321"	"44"	"1664"	"186.3"	"7.08"	"1157.76"	"44"	"1"
"False"	"High"	"IsMasterProteinRejected"	"P0C2I9"	"Transposon Ty1-PR1 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-PR1 PE=3 SV=1"	"0.000"	"515.955"	"34"	"47"	"283"	"0"	"1755"	"198.4"	"8.25"	"921.72"	"47"	"0"
"False"	"High"	"IsMasterProteinRejected"	"Q03612"	"Transposon Ty1-ER1 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-ER1 PE=3 SV=1"	"0.000"	"511.123"	"33"	"48"	"288"	"0"	"1755"	"198.4"	"8.06"	"914.57"	"48"	"0"
"False"	"High"	"IsMasterProteinCandidateRejected"	"Q03434"	"Transposon Ty1-ML2 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-ML2 PE=3 SV=2"	"0.000"	"511.123"	"33"	"48"	"288"	"0"	"1755"	"198.4"	"8.12"	"914.57"	"48"	"0"
"False"	"High"	"IsMasterProtein"	"P47098"	"Transposon Ty1-JR1 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-JR1 PE=3 SV=3"	"0.000"	"499.414"	"33"	"46"	"282"	"11"	"1755"	"198.5"	"8.00"	"911.26"	"46"	"1"
"False"	"High"	"None"	"Q12414"	"Transposon Ty1-PL Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-PL PE=3 SV=1"	"0.000"	"499.258"	"32"	"47"	"284"	"0"	"1755"	"198.5"	"8.06"	"902.74"	"47"	"0"
"False"	"High"	"None"	"P0C2I5"	"Transposon Ty1-LR2 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-LR2 PE=3 SV=1"	"0.000"	"485.012"	"31"	"46"	"268"	"0"	"1755"	"198.4"	"8.06"	"842.20"	"46"	"0"
"False"	"High"	"None"	"P0C2I3"	"Transposon Ty1-DR6 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-DR6 PE=3 SV=1"	"0.000"	"483.439"	"31"	"44"	"277"	"10"	"1755"	"198.5"	"8.00"	"897.42"	"44"	"1"
"False"	"High"	"None"	"Q12273"	"Transposon Ty1-OL Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-OL PE=3 SV=1"	"0.000"	"482.469"	"33"	"47"	"274"	"0"	"1755"	"198.5"	"8.12"	"856.92"	"47"	"0"
"False"	"High"	"IsMasterProteinRejected"	"P47100"	"Transposon Ty1-JR2 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-JR2 PE=3 SV=3"	"0.000"	"480.116"	"32"	"45"	"269"	"0"	"1755"	"198.5"	"8.32"	"848.68"	"45"	"0"
"False"	"High"	"IsMasterProteinRejected"	"Q04711"	"Transposon Ty1-ML1 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-ML1 PE=3 SV=2"	"0.000"	"478.738"	"33"	"45"	"263"	"0"	"1755"	"198.4"	"8.24"	"824.37"	"45"	"0"
"False"	"High"	"None"	"P0C2J0"	"Transposon Ty1-PR2 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-PR2 PE=3 SV=1"	"0.000"	"469.998"	"32"	"44"	"257"	"0"	"1756"	"198.5"	"8.29"	"808.29"	"44"	"0"
"False"	"High"	"None"	"P0C2I2"	"Transposon Ty1-DR5 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-DR5 PE=3 SV=1"	"0.000"	"466.873"	"32"	"44"	"259"	"0"	"1755"	"198.4"	"8.19"	"812.54"	"44"	"0"
"False"	"High"	"IsMasterProtein"	"Q12019"	"Midasin OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MDN1 PE=1 SV=1"	"0.000"	"453.834"	"13"	"55"	"180"	"55"	"4910"	"559.0"	"5.01"	"588.92"	"55"	"1"
"False"	"High"	"None"	"Q92393"	"Transposon Ty1-OR Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-OR PE=3 SV=1"	"0.000"	"449.553"	"30"	"43"	"252"	"0"	"1755"	"198.4"	"8.53"	"781.13"	"43"	"0"
"False"	"High"	"IsMasterProteinRejected"	"Q07793"	"Transposon Ty1-DR4 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-DR4 PE=3 SV=2"	"0.000"	"449.020"	"34"	"43"	"252"	"0"	"1604"	"181.5"	"7.53"	"809.02"	"43"	"0"
"False"	"High"	"IsMasterProteinRejected"	"Q12269"	"Transposon Ty1-GR2 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-GR2 PE=3 SV=3"	"0.000"	"448.255"	"30"	"43"	"251"	"0"	"1755"	"198.4"	"8.21"	"790.10"	"43"	"0"
"False"	"High"	"None"	"P0C2I6"	"Transposon Ty1-LR3 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-LR3 PE=3 SV=1"	"0.000"	"447.489"	"28"	"40"	"260"	"8"	"1755"	"198.3"	"7.94"	"849.27"	"40"	"1"
"False"	"High"	"None"	"Q12141"	"Transposon Ty1-GR1 Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TY1B-GR1 PE=3 SV=1"	"0.000"	"446.814"	"29"	"42"	"264"	"10"	"1755"	"198.5"	"8.18"	"826.72"	"42"	"1"
"False"	"High"	"IsMasterProtein"	"P38811"	"Transcription-associated protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TRA1 PE=1 SV=1"	"0.000"	"438.980"	"17"	"49"	"198"	"49"	"3744"	"432.9"	"6.55"	"604.19"	"49"	"1"
