PROT1	PROT2	RANK_MAJOR	RANK_MINOR	TYPE	PDB_ID	BIO_UNIT	CHAIN1	MODEL1	SEQ_IDENT1	COVERAGE1	SEQ_BEGIN1	SEQ_END1	DOMAIN1	CHAIN2	MODEL2	SEQ_IDENT2	COVERAGE2	SEQ_BEGIN2	SEQ_END2	DOMAIN2	FILENAME
O13297	O13297	1	0	Structure	1d8h	2	C	0	95.7	54.5	241	539	-	C	1	95.7	54.5	241	539	-	O13297-O13297-EXP-1d8h.pdb2-C-0-C-1.pdb
O13297	Q01159	1	0	Structure	3kyh	1	B	0	93.6	53.7	245	539	-	D	0	95.6	88.2	11	415	-	O13297-Q01159-EXP-3kyh.pdb1-B-0-D-0.pdb
O13516	P0C0W1	1	0	Structure	6eml	1	W	0	100.0	93.9	2	186	-	b	0	100.0	99.2	2	130	-	O13516-P0C0W1-EXP-6eml.pdb1-W-0-b-0.pdb
O13516	P0CX31	1	0	Structure	6fai	1	J	0	100.0	93.9	2	186	-	Y	0	100.0	99.3	2	135	-	O13516-P0CX31-EXP-6fai.pdb1-J-0-Y-0.pdb
O13516	P0CX33	1	0	Structure	6fai	1	J	0	100.0	93.9	2	186	-	e	0	78.7	96.8	1	61	-	O13516-P0CX33-EXP-6fai.pdb1-J-0-e-0.pdb
O13516	P0CX35	1	0	Structure	6fai	1	J	0	100.0	93.9	2	186	-	E	0	100.0	99.6	2	261	-	O13516-P0CX35-EXP-6fai.pdb1-J-0-E-0.pdb
O13516	P25443	1	0	Structure	6fai	1	J	0	100.0	93.9	2	186	-	C	0	100.0	85.4	34	250	-	O13516-P25443-EXP-6fai.pdb1-J-0-C-0.pdb
O13563	P05759	1	0	Dom_dom_model	5v1y	-	B	-	23.9	54.5	13	103	Proteasom_Rpn13	D	-	95.8	46.7	3	73	ubiquitin	O13563-P05759-MDD-Proteasom_Rpn13-ubiquitin-5v1y-B-29-111-D-3-73.pdb
O13563	P0CH08	1	0	Dom_dom_model	5v1y	-	B	-	23.9	54.5	13	103	Proteasom_Rpn13	D	-	95.8	55.5	3	73	ubiquitin	O13563-P0CH08-MDD-Proteasom_Rpn13-ubiquitin-5v1y-B-29-111-D-3-73.pdb
O13563	P0CH09	1	0	Dom_dom_model	5v1y	-	B	-	23.9	54.5	13	103	Proteasom_Rpn13	D	-	95.8	55.5	3	73	ubiquitin	O13563-P0CH09-MDD-Proteasom_Rpn13-ubiquitin-5v1y-B-29-111-D-3-73.pdb
O13563	P32565	1	0	Structure	4cr4	1	X	0	100.0	81.4	7	133	-	N	0	94.9	88.1	4	836	-	O13563-P32565-EXP-4cr4.pdb1-X-0-N-0.pdb
O13563	P48510	1	0	Dom_dom_model	5v1y	-	B	-	23.9	54.5	13	103	Proteasom_Rpn13	D	-	35.2	18.8	5	74	ubiquitin	O13563-P48510-MDD-Proteasom_Rpn13-ubiquitin-5v1y-B-29-111-D-3-73.pdb
O14455	P05748	1	0	Structure	6em3	1	i	0	100.0	74.0	27	100	-	N	0	87.2	99.5	2	204	-	O14455-P05748-EXP-6em3.pdb1-i-0-N-0.pdb
O60200	O60200	1	0	Structure	5jqm	1	C	0	100.0	83.7	4	75	-	A	0	94.4	83.7	4	75	-	O60200-O60200-EXP-5jqm.pdb1-C-0-A-0.pdb
O60200	P35200	1	0	Model	4ytw	1	A	0	100.0	87.2	3	77	-	B	0	30.1	72.2	3	168	-	O60200-P35200-MDL-4ytw.pdb1-A-0-B-0.pdb
O60200	Q04006	1	0	Dom_dom_model	5jql	-	J	-	100.0	77.9	8	74	UPF0203	I	-	26.3	83.8	16	167	PRELI	O60200-Q04006-MDD-UPF0203-PRELI-5jql-J-7-75-I-16-164.pdb
O60200	Q05776	1	0	Structure	4ytw	1	A	0	100.0	87.2	3	77	-	B	0	100.0	96.0	1	168	-	O60200-Q05776-EXP-4ytw.pdb1-A-0-B-0.pdb
O74700	P87108	1	0	Structure	3dxr	2	A	1	100.0	79.3	12	80	-	B	5	100.0	74.2	15	83	-	O74700-P87108-EXP-3dxr.pdb2-A-1-B-5.pdb
O94742	P40016	1	0	Structure	3jck	1	I	0	79.3	65.2	31	88	-	A	0	100.0	67.3	131	482	-	O94742-P40016-EXP-3jck.pdb1-I-0-A-0.pdb
O94742	P46674	1	0	Structure	3t5v	1	C	0	83.6	75.3	23	89	-	A	0	100.0	23.0	253	551	-	O94742-P46674-EXP-3t5v.pdb1-C-0-A-0.pdb
O94742	Q06103	1	0	Structure	3jck	1	I	0	79.3	65.2	31	88	-	D	0	95.0	94.2	21	424	-	O94742-Q06103-EXP-3jck.pdb1-I-0-D-0.pdb
O94742	Q08231	1	0	Structure	5ubp	1	C	0	76.2	70.8	27	89	-	B	0	100.0	100.0	1	455	-	O94742-Q08231-EXP-5ubp.pdb1-C-0-B-0.pdb
P00044	P00044	1	0	Structure	1ycc	1	A	0	100.0	99.1	2	109	-	A	1	100.0	99.1	2	109	-	P00044-P00044-EXP-1ycc.pdb1-A-0-A-1.pdb
P00044	P00431	1	0	Structure	2bcn	1	B	0	99.1	99.1	2	109	-	A	0	99.3	81.4	68	361	-	P00044-P00431-EXP-2bcn.pdb1-B-0-A-0.pdb
