Protein accession number	Protein Name	location		
YLR286C	"CTS1  Endochitinase, required for cell separation after mitosis; transcriptional activation during late G and early M cell cycle phases is mediated by transcription factor Ace2p"	nuclear		
YML075C	"HMG1  One of two isozymes of HMG-CoA reductase that catalyzes the conversion of HMG-CoA to mevalonate, which is a rate-limiting step in sterol biosynthesis; localizes to the nuclear envelope; overproduction induces the formation of karmellae"	nuclear		
YHL020C	OPI1  Transcriptional regulator of a variety of genes; phosphorylation by protein kinase A stimulates Opi1p function in negative regulation of phospholipid biosynthetic genes; involved in telomere maintenance	nuclear		
YEL002C	WBP1  Beta subunit of the oligosaccharyl transferase (OST) glycoprotein complex; required for N-linked glycosylation of proteins in the endoplasmic reticulum	nuclear		
YGR205W	  ATP-binding protein of unknown function; crystal structure resembles that of E.coli pantothenate kinase and other small kinases	nuclear		
YJL010C	  Essential nucleolar protein required for 18S rRNA synthesis	nuclear		
YOR352W	  Hypothetical protein	nuclear		
YMR310C	  Hypothetical protein	nuclear		
YLR455W	  Hypothetical protein	nuclear		
YLR003C	  Hypothetical protein	nuclear		
YJL122W	  Hypothetical protein	nuclear		
YER049W	  Hypothetical protein	nuclear		
YCR087C-A	  Hypothetical protein	nuclear		
YCR016W	  Hypothetical protein	nuclear		
YBL028C	  Hypothetical protein	nuclear		
YNR024W	  Hypothetical protein	nuclear		
YMR114C	  Hypothetical protein	nuclear		
YAL027W	  Hypothetical protein	nuclear		
YPR022C	  Hypothetical protein	nuclear		
YER156C	  Hypothetical protein	nuclear		
YDR020C	  Hypothetical protein	nuclear		
YMR315W	  Hypothetical protein	nuclear		
YER134C	  Hypothetical protein	nuclear		
YDL063C	  Hypothetical protein	nuclear		
YOR289W	  Hypothetical protein	nuclear		
YCR051W	  Hypothetical protein	nuclear		
YMR178W	  Hypothetical protein	nuclear		
YML082W	  Hypothetical protein	nuclear		
YOR283W	  Hypothetical protein	nuclear		
YDL156W	  Hypothetical protein	nuclear		
YJR056C	  Hypothetical protein	nuclear		
YDR051C	  Hypothetical protein	nuclear		
YDR132C	  Hypothetical protein	nuclear		
YNL254C	  Hypothetical protein	nuclear		
YDR520C	  Hypothetical protein	nuclear		
YLR108C	  Hypothetical protein	nuclear		
YDR161W	  interacts with PP2C	nuclear		
YMR226C	"  NADP(+)-dependent dehydrogenase; acts on serine, L-allo-threonine, and other 3-hydroxy acids"	nuclear		
YNL022C	  Non-essential protein with similarity to S. pombe hypothetical protein E349594	nuclear		
YMR075W	  Nuclear protein of unknown function	nuclear		
YPR169W	"  Nucleolar protein of unknown function, exhibits a physical interaction with Bre1p"	nuclear		
YKR095W-A	"  Protein of unknown function, conserved in Ashbya gossypii"	nuclear		
YDR458C	  Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the nuclear periphery	nuclear		
YBR095C	  Protein possibly involved in cell fusion and invasive growth	nuclear		
YOR004W	  Protein required for cell viability	nuclear		
YLR051C	  Protein required for cell viability	nuclear		
YIL091C	  Protein required for cell viability	nuclear		
YDR291W	  Putative DNA helicase	nuclear		
YNL274C	  Putative hydroxyisocaproate dehydrogenase	nuclear		
YGR251W	  Putative protein of unknown function; deletion mutant has defects in pre-rRNA processing; green fluorescent protein (GFP)-fusion protein localizes to both the nucleus and the nucleolus; YGR251W is an essential gene	nuclear		
YGR071C	  Putative protein of unknown function; deletion mutant has increased glycogen accumulation; green fluorescent protein (GFP)-fusion protein localizes to the nucleus	nuclear		
YGR283C	  Putative protein of unknown function; deletion mutant is resistant to fluconazole; green fluorescent protein (GFP)-fusion protein localizes to the nucleolus	nuclear		
YKR018C	  Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus	nuclear		
YBR281C	  Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; YBR281C is not an essential gene	nuclear		
YIL127C	  Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the nucleolus	nuclear		
YGR271C-A	  Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the nucleolus	nuclear		
YBR141C	  Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the nucleolus; YBR141C is not an essential gene	nuclear		
YML011C	  Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the nucleus	nuclear		
YGR093W	  Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the nucleus	nuclear		
YGR277C	  Putative protein of unknown function; sequence similarity to Pantetheine-phosphate adenylyltransferase (PPAT); YGR277C is an essential gene	nuclear		
YNL123W	  shows protein sequence similarity to the mammalian Omi/HtrA2 family of serine proteases	nuclear		
YHR127W	 (HSN1) (H)igh copy (S)uppressor of (N)34 dominant negative allele of SEC4. Suppression is very specific to this allele. It has no affect on the analogous YPT1 allele. No homology or known function.	nuclear		
YOR252W	 (RBF17) Hypothetical protein	nuclear		
YLR262C-A	 (RBF7) Similar to C. elegans protein	nuclear		
YKR011C	 (TOS5) Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the nucleus	nuclear		
YEL007W	 (TOS9) Putative protein with sequence similarity to S. pombe gti1+ (gluconate transport inducer 1)	nuclear		
YMR233W	 (TRI1) Interacts with Top1p in 2-hybrid assay.	nuclear		
YOR051C	" (YOR29-02) Nuclear protein that inhibits replication of Brome mosaic virus in S. cerevisiae, which is a model system for studying replication of positive-strand RNA viruses in their natural hosts"	nuclear		
YOR052C	 (YOR29-03) Hypothetical protein	nuclear		
YBR236C	"ABD1  Methyltransferase, catalyzes the transfer of a methyl group from S-adenosylmethionine to the GpppN terminus of capped mRNA"	nuclear		
YLR153C	"ACS2  Acetyl-coA synthetase isoform, required for growth on glucose; expressed under anaerobic conditions"	nuclear		
YFL039C	"ACT1 (actin,ABY1,END7) Actin, structural protein involved in cell polarization, endocytosis, and other cytoskeletal functions"	nuclear		
YDR448W	"ADA2 (SWI8) Transcription coactivator, component of the ADA and SAGA transcriptional adaptor/HAT (histone acetyltransferase) complexes"	nuclear		
YGR204W	"ADE3  Cytoplasmic trifunctional enzyme C1-tetrahydrofolate synthase, involved in single carbon metabolism and required for biosynthesis of purines, thymidylate, methionine, and histidine"	nuclear		
YIL079C	"AIR1  RING finger protein that interacts with the arginine methyltransferase Hmt1p to regulate methylation of Npl3p, which modulates Npl3p function in mRNA processing and export; has similarity to Air2p"	nuclear		
